company,gross
Shuler,216969335
Hemdale,216071727
Balboa Productions,216053591
Osiris Films,215862666
Valerian S.A.S.,215098356
Novo Pictures,215098356
Bazmark Film 2 Pty Ltd,215080810
30 West,214136331
Man in a Tree Productions,214005122
Asia Union Film and Entertainment LTD,213966221
United China Vision,213966221
3dot Productions,213966066
Beijing Fun Age Pictures,213949747
New Classics Pictures,213949747
Nikelodeon Movies,212956024
Mediapro,212088120
AGC,212016280
Robot Communications,211727987
Annapurna Films,211662542
Bart/Palevsky,211018919
Envision Media,209189739
Wayfare Entertainment,208269944
Mediaset Espana,208143092
East Light Film,207820481
Las Producciones Del Escorpion,207788211
A Stern Talking To,207557117
D.C. Entertainment,207557117
Granada Productions,207430473
Bim Distribuzione,207194576
Gregory Jacobs,206924453
A113,206627518
Mediastream Film,206458372
Fox Star Studios,206242188
Sodec,206202840
Camelot Pictures,206010152
A. Kitman Ho,205400000
Kroll and Company Entertainment,205358461
Lorenzo di Bonaventura,205332385
Steven Reuther,205298907
Follow Through Productions,205164609
Gran Via,205067778
Bron Studios,205054687
Beijing Hairun Pictures LTD,204844700
Rhythm and Hues,204774690
United Artistic Group,204463987
Achte Babelsberg Film,203932174
Permut Presentations,203601264
JC 23 Entertainment,203018919
3 In The Box Productions,202811432
Vynil Films,202726605
Crucial Films,202182981
Broken Chair Flickz,202182981
Bungalow 78,202173000
Minoff,202173000
Farrell,202173000
Zero Gravity Management,201854339
Diamond Film Productions,200691081
T.D. Jakes,200648758
Gerard Butler Alan Siegel Entertainment,200642625
Jerry Sherlock,200500000
Pure Flix,200219458
Riverstone Pictures,200214035
Welle Entertainment,199332004
Kingdom Story Company,199081337
Lee Rich,197776840
Bryan Singer,197687603
Toff Guy Films,197366193
Inferno,197124449
Showbox,197069956
Saban Films,196518328
Franchise Pictures,195705543
Bord Scannan na hEireann,195697900
Toonbox Entertainment,195451549
John Gatins,194169619
Electronic Arts,194169619
Mark Sourian,194169619
Golden Shores Films,194058503
Filmko Film Co,194058503
HG Entertainment,194058503
Luxun Group,194058503
Yoo.com,194058503
Global Star Productions,194058503
Fanoy Planet Entertainment,194058503
Eurimages,193170089
Exhibit A Pictures,192275228
ARTE France,192257034
Kinoshita Group,192115012
Marmalade Pictures,192115012
Angel Studios,192048586
Millar/Gough Ink,191771175
Harpo Films,191556866
J.Q. Pictures Limited,191392330
AGBO,191333706
C2 Motion Picture Group,191297703
Suzanne Todd,191086728
Pegasus Motion Pictures,190370012
Emperor Film Production,190263349
Ecosse Films,190094097
Touchwood Pacific Partners,189697157
JD Productions,189357100
